BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by Ashford Homes,Multi-family home for sale,1489000,6,2.373860858,3780,205 Wiman Ave,"Staten Island, NY 10308"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,65000000,3,2.373860858,15200,4 E 79th St,"New York, NY 10075"
Brokered by Serhant,Condo for sale,1595000,3,3,1413,924 Lafayette Ave Unit Ph,"Brooklyn, NY 11221"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,655000,3,2,803,1504 Jefferson Ave Unit Gardenb,"Brooklyn, NY 11237"
Brokered by Serhant,Condo for sale,1175000,2,2,1115,924 Lafayette Ave Apt 2,"Brooklyn, NY 11221"
Brokered by E Realty International Corp,Multi-family home for sale,2880000,9,2.373860858,2350,16-33 166th St,"Whitestone, NY 11357"
Brokered by Momentum Real Estate LLC,Multi-family home for sale,798000,3,4,2150,425 Father Capodanno Blvd,"Staten Island, NY 10305"
"Brokered by Apaus, Inc",Land for sale,1685000,3,2.373860858,2184.207862,519 Fairview Ave,"Ridgewood, NY 11385"
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,31000000,3,4,4492,111 W 57th St # 50,"New York, NY 10019"
"Brokered by Dom Realty, Inc",Land for sale,2550000,3,2.373860858,2184.207862,234 Ocean View Ave,"Brooklyn, NY 11235"
Brokered by Meyers Enterprise Realty Group,Land for sale,119000,3,2.373860858,2184.207862,3652 DE Reimer Ave,"Bronx, NY 10466"
Brokered by Gosen Properties Inc,Foreclosure,269000,5,2,2184.207862,24149 148th Dr,"Rosedale, NY 11422"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1650000,2,2,1065,200 E 94th St Apt 414,"New York, NY 10128"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1650000,2,2,1065,200 E 94th St Apt 414,"New York, NY 10128"
Brokered by COMPASS,Townhouse for sale,12950000,5,4,3344,214 W 11th St,"Manhattan, NY 10014"
Brokered by Brown Harris Stevens - 1926 Broadway,Condo for sale,5750000,3,2,2223,250 E 21st St Unit 12B,"Manhattan, NY 10010"
Brokered by Sowae Corp,Multi-family home for sale,250000,5,2,2184.207862,130-24 150th St,"Jamaica, NY 11436"
Brokered by Charles Rutenberg Realty Inc,Pending,950000,6,2.373860858,3384,254-06 Craft Ave Unit 2,"Jamaica, NY 11422"
Brokered by Keller Williams Realty Empire,House for sale,585000,3,2,1100,192 Colfax Ave,"Staten Island, NY 10306"
Brokered by BROWN HARRIS STEVENS BROOKLYN LLC,House for sale,8750000,6,6,2184.207862,8200 Narrows Ave,"Brooklyn, NY 11209"
"Brokered by Tom Marco Real Estate, Inc.",House for sale,595000,3,1,1316,1509 E 48th St,"Brooklyn, NY 11234"
Brokered by Engel & Volkers Brownstone Brooklyn,Condo for sale,215000,1,1,625,195 Prince St Unit 1LL,"New York, NY 10012"
Built by Toll Brothers,For sale,950000,1,1,621,The Rockwell # 3A,"New York, NY 10025"
Brokered by Sowae Corp,House for sale,314000,3,1,1572,850 E 39th St,"Brooklyn, NY 11210"
Brokered by Brown Harris Stevens,Condo for sale,395000,5,1,1000,110 E 71st St Unit Medical,"Manhattan, NY 10021"
Brokered by Prospes Real Estate Corp,Multi-family home for sale,600000,2,2,2184.207862,1406 Mac Donough Pl,"Bronx, NY 10465"
Brokered by EXP Realty,Multi-family home for sale,790000,6,3,2520,78 Mountainview Ave,"Staten Island, NY 10314"
Brokered by STROFFOLINO REALTY LLC,Co-op for sale,539000,2,2,1100,9425 Shore Rd Apt 4F,"Brooklyn, NY 11209"
Brokered by Douglas Elliman - 3544 Johnson Ave,Co-op for sale,1295000,4,2,1995,2501 Palisade Ave Apt H2,"Bronx, NY 10463"
Brokered by Sowae Corp,House for sale,245000,3,1,2184.207862,2942 Lurting Ave,"Bronx, NY 10469"
Brokered by Americas Real Estate Advisors,House for sale,400000,7,3,2385,340 E 234th St,"Bronx, NY 10470"
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,55000000,8,8,12000,25 Riverside Dr,"New York, NY 10023"
